unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,
95,,,,,1,,,,,,,,,,,,,,,,
96,,,,1,,,,,,,,,,,,,,,,,
97,,,1,,,,,,,,,,,,,,,,,,
98,,,1,,,,,,,,,,,,,,,,,,
99,,1,,,,,,,,,,,,,,,,,,,
100,,1,,,,,,,,,,,,,,,,,,,
101,1,,,,,,,,,,,,,,,,,,,,
102,1,,,,,,,,,,,,,,,,,,,,
103,1,,,,,,,,,,,,,,,,,,,,
104,1,,,,,,,,,,,,,,,,,,,,
105,1,,,,,,,,,,,,,,,,,,,,
106,1,,,,,,,,,,,,,,,,,,,,
107,1,,,,,,,,,,,,,,,,,,,,
108,1,,,,,,,,,,,,,,,,,,,,
109,,1,,,,,,,,,,,,,,,,,,,
110,,1,,,,,,,,,,,,,,,,,,,
111,,,1,,,,,,,,,,,,,,,,,,
112,,,1,,,,,,,,,,,,,,,,,,
113,,,,1,,,,,,,,,,,,,,,,,
114,,,,,1,,,,,,,,,,,,,,,,
115,,,,,,1,,,,,,,,,,,,,,,
116,,,,,,,1,,,,,,,,,,,,,,
117,,,,,,,,1,,,,,,,,,,,,,
118,,,,,,,,,1,,,,,,,,,,,,
119,,,,,,,,,,1,,,,,,,,,,,
120,,,,,,,,,,,1,,,,,,,,,,
121,,,,,,,,,,,,135,,,,,,,,,
122,,,,,,,,,,,,,174,,,,,,,,
123,,,,,,,,,,,,,,112,,,,,,,
124,,,,,,,,,,,,,,,217,,,,,,
125,,,,,,,,,,,,,,,,220,,,,,
126,,,,,,,,,,,,,,,,,138,,,,
127,,,,,,,,,,,,,,,,,,254,,,
128,,,,,,,,,,,,,,,,,,254,,,
129,,,,,,,,,,,,,,,,,,,234,,
130,,,,,,,,,,,,,,,,,,,234,,
131,,,,,,,,,,,,,,,,,,,,133,
132,,,,,,,,,,,,,,,,,,,,133,
133,,,,,,,,,,,,,,,,,,,,133,
134,,,,,,,,,,,,,,,,,,,,133,
135,,,,,,,,,,,,,,,,,,,,133,
136,,,,,,,,,,,,,,,,,,,,133,
137,,,,,,,,,,,,,,,,,,,,133,
138,,,,,,,,,,,,,,,,,,,,133,
139,,,,,,,,,,,,,,,,,,,234,,
140,,,,,,,,,,,,,,,,,,,234,,
141,,,,,,,,,,,,,,,,,,254,,,
142,,,,,,,,,,,,,,,,,138,,,,
143,,,,,,,,,,,,,,,,,138,,,,
144,,,,,,,,,,,,,,,,220,,,,,
145,,,,,,,,,,,,,,,217,,,,,,
146,,,,,,,,,,,,,,112,,,,,,,
147,,,,,,,,,,,,,174,,,,,,,,
148,,,,,,,,,,,,135,,,,,,,,,
149,,,,,,,,,,,1,,,,,,,,,,
150,,,,,,,,,,1,,,,,,,,,,,
151,,,,,,,,,1,,,,,,,,,,,,
152,,,,,,,,1,,,,,,,,,,,,,
153,,,,,,,1,,,,,,,,,,,,,,
154,,,,,,1,,,,,,,,,,,,,,,
155,,,,,1,,,,,,,,,,,,,,,,
156,,,,1,,,,,,,,,,,,,,,,,
157,,,1,,,,,,,,,,,,,,,,,,
158,,,1,,,,,,,,,,,,,,,,,,
159,,1,,,,,,,,,,,,,,,,,,,
160,1,,,,,,,,,,,,,,,,,,,,
161,1,,,,,,,,,,,,,,,,,,,,
162,1,,,,,,,,,,,,,,,,,,,,
163,1,,,,,,,,,,,,,,,,,,,,
164,1,,,,,,,,,,,,,,,,,,,,
165,1,,,,,,,,,,,,,,,,,,,,
166,1,,,,,,,,,,,,,,,,,,,,
167,1,,,,,,,,,,,,,,,,,,,,
168,1,,,,,,,,,,,,,,,,,,,,
169,,1,,,,,,,,,,,,,,,,,,,
170,,1,,,,,,,,,,,,,,,,,,,
171,,,1,,,,,,,,,,,,,,,,,,
172,,,,1,,,,,,,,,,,,,,,,,
173,,,,,1,,,,,,,,,,,,,,,,
174,,,,,1,,,,,,,,,,,,,,,,
175,,,,,,1,,,,,,,,,,,,,,,
176,,,,,,,1,,,,,,,,,,,,,,
177,,,,,,,,1,,,,,,,,,,,,,
178,,,,,,,,,1,,,,,,,,,,,,
179,,,,,,,,,,1,,,,,,,,,,,
180,,,,,,,,,,,1,,,,,,,,,,
181,,,,,,,,,,,,,174,,,,,,,,
182,,,,,,,,,,,,,,112,,,,,,,
183,,,,,,,,,,,,,,,217,,,,,,
184,,,,,,,,,,,,,,,217,,,,,,
185,,,,,,,,,,,,,,,,220,,,,,
186,,,,,,,,,,,,,,,,,138,,,,
187,,,,,,,,,,,,,,,,,,254,,,
188,,,,,,,,,,,,,,,,,,,234,,
189,,,,,,,,,,,,,,,,,,,234,,
190,,,,,,,,,,,,,,,,,,,,133,
191,,,,,,,,,,,,,,,,,,,,133,
192,,,,,,,,,,,,,,,,,,,,133,
193,,,,,,,,,,,,,,,,,,,,133,
194,,,,,,,,,,,,,,,,,,,,133,
195,,,,,,,,,,,,,,,,,,,,133,
196,,,,,,,,,,,,,,,,,,,,133,
197,,,,,,,,,,,,,,,,,,,,133,
198,,,,,,,,,,,,,,,,,,,,133,
199,,,,,,,,,,,,,,,,,,,234,,
200,,,,,,,,,,,,,,,,,,,234,,
201,,,,,,,,,,,,,,,,,,254,,,
202,,,,,,,,,,,,,,,,,138,,,,
203,,,,,,,,,,,,,,,,220,,,,,
204,,,,,,,,,,,,,,,217,,,,,,
205,,,,,,,,,,,,,,,217,,,,,,
206,,,,,,,,,,,,,,112,,,,,,,
207,,,,,,,,,,,,,174,,,,,,,,
208,,,,,,,,,,,1,,,,,,,,,,
209,,,,,,,,,,1,,,,,,,,,,,
210,,,,,,,,,1,,,,,,,,,,,,
211,,,,,,,,1,,,,,,,,,,,,,
212,,,,,,,1,,,,,,,,,,,,,,
213,,,,,,1,,,,,,,,,,,,,,,
214,,,,,1,,,,,,,,,,,,,,,,
215,,,,,1,,,,,,,,,,,,,,,,
216,,,,1,,,,,,,,,,,,,,,,,
217,,,1,,,,,,,,,,,,,,,,,,
218,,1,,,,,,,,,,,,,,,,,,,
219,,1,,,,,,,,,,,,,,,,,,,
220,1,,,,,,,,,,,,,,,,,,,,
221,1,,,,,,,,,,,,,,,,,,,,
222,1,,,,,,,,,,,,,,,,,,,,
223,1,,,,,,,,,,,,,,,,,,,,
224,1,,,,,,,,,,,,,,,,,,,,
225,1,,,,,,,,,,,,,,,,,,,,
226,1,,,,,,,,,,,,,,,,,,,,
227,1,,,,,,,,,,,,,,,,,,,,
228,1,,,,,,,,,,,,,,,,,,,,
229,,1,,,,,,,,,,,,,,,,,,,
230,,,1,,,,,,,,,,,,,,,,,,
231,,,1,,,,,,,,,,,,,,,,,,
232,,,,1,,,,,,,,,,,,,,,,,
233,,,,,1,,,,,,,,,,,,,,,,
234,,,,,,1,,,,,,,,,,,,,,,
235,,,,,,,1,,,,,,,,,,,,,,
236,,,,,,,,1,,,,,,,,,,,,,
237,,,,,,,,,1,,,,,,,,,,,,
238,,,,,,,,,,1,,,,,,,,,,,
239,,,,,,,,,,,1,,,,,,,,,,
240,,,,,,,,,,,,135,,,,,,,,,
241,,,,,,,,,,,,,174,,,,,,,,
242,,,,,,,,,,,,,,112,,,,,,,
243,,,,,,,,,,,,,,,217,,,,,,
244,,,,,,,,,,,,,,,,220,,,,,
245,,,,,,,,,,,,,,,,,138,,,,
246,,,,,,,,,,,,,,,,,138,,,,
247,,,,,,,,,,,,,,,,,,254,,,
248,,,,,,,,,,,,,,,,,,,234,,
249,,,,,,,,,,,,,,,,,,,234,,
250,,,,,,,,,,,,,,,,,,,,133,
251,,,,,,,,,,,,,,,,,,,,133,
252,,,,,,,,,,,,,,,,,,,,133,
253,,,,,,,,,,,,,,,,,,,,133,
254,,,,,,,,,,,,,,,,,,,,133,
255,,,,,,,,,,,,,,,,,,,,133,
256,,,,,,,,,,,,,,,,,,,,133,
257,,,,,,,,,,,,,,,,,,,,133,
258,,,,,,,,,,,,,,,,,,,234,,
259,,,,,,,,,,,,,,,,,,,234,,
260,,,,,,,,,,,,,,,,,,254,,,
261,,,,,,,,,,,,,,,,,,254,,,
262,,,,,,,,,,,,,,,,,138,,,,
263,,,,,,,,,,,,,,,,220,,,,,
264,,,,,,,,,,,,,,,217,,,,,,
265,,,,,,,,,,,,,,112,,,,,,,
266,,,,,,,,,,,,,174,,,,,,,,
267,,,,,,,,,,,,135,,,,,,,,,
268,,,,,,,,,,,1,,,,,,,,,,
269,,,,,,,,,,1,,,,,,,,,,,
270,,,,,,,,,1,,,,,,,,,,,,
271,,,,,,,,1,,,,,,,,,,,,,
272,,,,,,,1,,,,,,,,,,,,,,
273,,,,,,1,,,,,,,,,,,,,,,
274,,,,,1,,,,,,,,,,,,,,,,
275,,,,1,,,,,,,,,,,,,,,,,
276,,,1,,,,,,,,,,,,,,,,,,
277,,,1,,,,,,,,,,,,,,,,,,
278,,1,,,,,,,,,,,,,,,,,,,
279,,1,,,,,,,,,,,,,,,,,,,
280,1,,,,,,,,,,,,,,,,,,,,
281,1,,,,,,,,,,,,,,,,,,,,
282,1,,,,,,,,,,,,,,,,,,,,
283,1,,,,,,,,,,,,,,,,,,,,
284,1,,,,,,,,,,,,,,,,,,,,
285,1,,,,,,,,,,,,,,,,,,,,
286,1,,,,,,,,,,,,,,,,,,,,
287,1,,,,,,,,,,,,,,,,,,,,
288,,1,,,,,,,,,,,,,,,,,,,
289,,1,,,,,,,,,,,,,,,,,,,
290,,,1,,,,,,,,,,,,,,,,,,
291,,,1,,,,,,,,,,,,,,,,,,
292,,,,1,,,,,,,,,,,,,,,,,
293,,,,,1,,,,,,,,,,,,,,,,
294,,,,,,1,,,,,,,,,,,,,,,
295,,,,,,,1,,,,,,,,,,,,,,
296,,,,,,,,1,,,,,,,,,,,,,
297,,,,,,,,,1,,,,,,,,,,,,
298,,,,,,,,,,1,,,,,,,,,,,
299,,,,,,,,,,,1,,,,,,,,,,
300,,,,,,,,,,,,135,,,,,,,,,
301,,,,,,,,,,,,,174,,,,,,,,
302,,,,,,,,,,,,,,112,,,,,,,
303,,,,,,,,,,,,,,,217,,,,,,
304,,,,,,,,,,,,,,,,220,,,,,
305,,,,,,,,,,,,,,,,,138,,,,
306,,,,,,,,,,,,,,,,,,254,,,
307,,,,,,,,,,,,,,,,,,254,,,
308,,,,,,,,,,,,,,,,,,,234,,
309,,,,,,,,,,,,,,,,,,,234,,
310,,,,,,,,,,,,,,,,,,,,133,
311,,,,,,,,,,,,,,,,,,,,133,
312,,,,,,,,,,,,,,,,,,,,133,
313,,,,,,,,,,,,,,,,,,,,133,
314,,,,,,,,,,,,,,,,,,,,133,
315,,,,,,,,,,,,,,,,,,,,133,
316,,,,,,,,,,,,,,,,,,,,133,
317,,,,,,,,,,,,,,,,,,,,133,
318,,,,,,,,,,,,,,,,,,,234,,
319,,,,,,,,,,,,,,,,,,,234,,
320,,,,,,,,,,,,,,,,,,254,,,
321,,,,,,,,,,,,,,,,,138,,,,
322,,,,,,,,,,,,,,,,,138,,,,
323,,,,,,,,,,,,,,,,220,,,,,
324,,,,,,,,,,,,,,,217,,,,,,
325,,,,,,,,,,,,,,112,,,,,,,
326,,,,,,,,,,,,,174,,,,,,,,
327,,,,,,,,,,,,135,,,,,,,,,
328,,,,,,,,,,,1,,,,,,,,,,
329,,,,,,,,,,1,,,,,,,,,,,
330,,,,,,,,,1,,,,,,,,,,,,
331,,,,,,,,1,,,,,,,,,,,,,
332,,,,,,,1,,,,,,,,,,,,,,
333,,,,,,1,,,,,,,,,,,,,,,
334,,,,,1,,,,,,,,,,,,,,,,
335,,,,1,,,,,,,,,,,,,,,,,
336,,,1,,,,,,,,,,,,,,,,,,
337,,,1,,,,,,,,,,,,,,,,,,
338,,1,,,,,,,,,,,,,,,,,,,
339,1,,,,,,,,,,,,,,,,,,,,
340,1,,,,,,,,,,,,,,,,,,,,
341,1,,,,,,,,,,,,,,,,,,,,
342,1,,,,,,,,,,,,,,,,,,,,
343,1,,,,,,,,,,,,,,,,,,,,
344,1,,,,,,,,,,,,,,,,,,,,
345,1,,,,,,,,,,,,,,,,,,,,
346,1,,,,,,,,,,,,,,,,,,,,
347,1,,,,,,,,,,,,,,,,,,,,
348,,1,,,,,,,,,,,,,,,,,,,
349,,1,,,,,,,,,,,,,,,,,,,
350,,,1,,,,,,,,,,,,,,,,,,
351,,,,1,,,,,,,,,,,,,,,,,
352,,,,1,,,,,,,,,,,,,,,,,
353,,,,,1,,,,,,,,,,,,,,,,
354,,,,,,1,,,,,,,,,,,,,,,
355,,,,,,,1,,,,,,,,,,,,,,
356,,,,,,,,1,,,,,,,,,,,,,
357,,,,,,,,,1,,,,,,,,,,,,
358,,,,,,,,,,1,,,,,,,,,,,
359,,,,,,,,,,,1,,,,,,,,,,
360,,,,,,,,,,,,135,,,,,,,,,
361,,,,,,,,,,,,,174,,,,,,,,
362,,,,,,,,,,,,,,112,,,,,,,
363,,,,,,,,,,,,,,,217,,,,,,
364,,,,,,,,,,,,,,,,220,,,,,
365,,,,,,,,,,,,,,,,,138,,,,
366,,,,,,,,,,,,,,,,,,254,,,
367,,,,,,,,,,,,,,,,,,,234,,
368,,,,,,,,,,,,,,,,,,,234,,
369,,,,,,,,,,,,,,,,,,,,133,
370,,,,,,,,,,,,,,,,,,,,133,
371,,,,,,,,,,,,,,,,,,,,133,
372,,,,,,,,,,,,,,,,,,,,133,
373,,,,,,,,,,,,,,,,,,,,133,
374,,,,,,,,,,,,,,,,,,,,133,
375,,,,,,,,,,,,,,,,,,,,133,
376,,,,,,,,,,,,,,,,,,,,133,
377,,,,,,,,,,,,,,,,,,,,133,
378,,,,,,,,,,,,,,,,,,,234,,
379,,,,,,,,,,,,,,,,,,,234,,
380,,,,,,,,,,,,,,,,,,254,,,
381,,,,,,,,,,,,,,,,,138,,,,
382,,,,,,,,,,,,,,,,220,,,,,
383,,,,,,,,,,,,,,,,220,,,,,
384,,,,,,,,,,,,,,,217,,,,,,
385,,,,,,,,,,,,,,112,,,,,,,
386,,,,,,,,,,,,,174,,,,,,,,
387,,,,,,,,,,,,135,,,,,,,,,
388,,,,,,,,,,1,,,,,,,,,,,
389,,,,,,,,,1,,,,,,,,,,,,
390,,,,,,,,1,,,,,,,,,,,,,
391,,,,,,,1,,,,,,,,,,,,,,
392,,,,,,1,,,,,,,,,,,,,,,
393,,,,,1,,,,,,,,,,,,,,,,
394,,,,,1,,,,,,,,,,,,,,,,
395,,,,1,,,,,,,,,,,,,,,,,
396,,,1,,,,,,,,,,,,,,,,,,
397,,1,,,,,,,,,,,,,,,,,,,
398,,1,,,,,,,,,,,,,,,,,,,
399,1,,,,,,,,,,,,,,,,,,,,
400,1,,,,,,,,,,,,,,,,,,,,
401,1,,,,,,,,,,,,,,,,,,,,
402,1,,,,,,,,,,,,,,,,,,,,
403,1,,,,,,,,,,,,,,,,,,,,
404,1,,,,,,,,,,,,,,,,,,,,
405,1,,,,,,,,,,,,,,,,,,,,
406,1,,,,,,,,,,,,,,,,,,,,
407,1,,,,,,,,,,,,,,,,,,,,
408,,1,,,,,,,,,,,,,,,,,,,
409,,1,,,,,,,,,,,,,,,,,,,
410,,,1,,,,,,,,,,,,,,,,,,
411,,,,1,,,,,,,,,,,,,,,,,
412,,,,,1,,,,,,,,,,,,,,,,
413,,,,,,1,,,,,,,,,,,,,,,
414,,,,,,,1,,,,,,,,,,,,,,
415,,,,,,,,1,,,,,,,,,,,,,
416,,,,,,,,,1,,,,,,,,,,,,
417,,,,,,,,,,1,,,,,,,,,,,
418,,,,,,,,,,,1,,,,,,,,,,
419,,,,,,,,,,,,135,,,,,,,,,
420,,,,,,,,,,,,,174,,,,,,,,
421,,,,,,,,,,,,,,112,,,,,,,
422,,,,,,,,,,,,,,,217,,,,,,
423,,,,,,,,,,,,,,,,220,,,,,
424,,,,,,,,,,,,,,,,,138,,,,
425,,,,,,,,,,,,,,,,,138,,,,
426,,,,,,,,,,,,,,,,,,254,,,
427,,,,,,,,,,,,,,,,,,,234,,
428,,,,,,,,,,,,,,,,,,,234,,
429,,,,,,,,,,,,,,,,,,,,133,
430,,,,,,,,,,,,,,,,,,,,133,
431,,,,,,,,,,,,,,,,,,,,133,
432,,,,,,,,,,,,,,,,,,,,133,
433,,,,,,,,,,,,,,,,,,,,133,
434,,,,,,,,,,,,,,,,,,,,133,
435,,,,,,,,,,,,,,,,,,,,133,
436,,,,,,,,,,,,,,,,,,,,133,
437,,,,,,,,,,,,,,,,,,,,133,
438,,,,,,,,,,,,,,,,,,,234,,
439,,,,,,,,,,,,,,,,,,254,,,
440,,,,,,,,,,,,,,,,,,254,,,
441,,,,,,,,,,,,,,,,,138,,,,
442,,,,,,,,,,,,,,,,220,,,,,
443,,,,,,,,,,,,,,,217,,,,,,
444,,,,,,,,,,,,,,112,,,,,,,
445,,,,,,,,,,,,,174,,,,,,,,
446,,,,,,,,,,,,135,,,,,,,,,
447,,,,,,,,,,,1,,,,,,,,,,
448,,,,,,,,,,1,,,,,,,,,,,
449,,,,,,,,,1,,,,,,,,,,,,
450,,,,,,,,1,,,,,,,,,,,,,
451,,,,,,,1,,,,,,,,,,,,,,
452,,,,,,1,,,,,,,,,,,,,,,
453,,,,,1,,,,,,,,,,,,,,,,
454,,,,1,,,,,,,,,,,,,,,,,
455,,,,1,,,,,,,,,,,,,,,,,
456,,,1,,,,,,,,,,,,,,,,,,
457,,1,,,,,,,,,,,,,,,,,,,
458,,1,,,,,,,,,,,,,,,,,,,
459,1,,,,,,,,,,,,,,,,,,,,
460,1,,,,,,,,,,,,,,,,,,,,
461,1,,,,,,,,,,,,,,,,,,,,
462,1,,,,,,,,,,,,,,,,,,,,
463,1,,,,,,,,,,,,,,,,,,,,
464,1,,,,,,,,,,,,,,,,,,,,
465,1,,,,,,,,,,,,,,,,,,,,
466,1,,,,,,,,,,,,,,,,,,,,
467,,1,,,,,,,,,,,,,,,,,,,
468,,1,,,,,,,,,,,,,,,,,,,
469,,,1,,,,,,,,,,,,,,,,,,
470,,,1,,,,,,,,,,,,,,,,,,
471,,,,1,,,,,,,,,,,,,,,,,
472,,,,,1,,,,,,,,,,,,,,,,
473,,,,,,1,,,,,,,,,,,,,,,
474,,,,,,,1,,,,,,,,,,,,,,
475,,,,,,,,1,,,,,,,,,,,,,
476,,,,,,,,,1,,,,,,,,,,,,
477,,,,,,,,,,1,,,,,,,,,,,
478,,,,,,,,,,,1,,,,,,,,,,
479,,,,,,,,,,,,135,,,,,,,,,
480,,,,,,,,,,,,,174,,,,,,,,
481,,,,,,,,,,,,,,112,,,,,,,
482,,,,,,,,,,,,,,,217,,,,,,
483,,,,,,,,,,,,,,,,220,,,,,
484,,,,,,,,,,,,,,,,,138,,,,
485,,,,,,,,,,,,,,,,,,254,,,
486,,,,,,,,,,,,,,,,,,254,,,
487,,,,,,,,,,,,,,,,,,,234,,
488,,,,,,,,,,,,,,,,,,,234,,
489,,,,,,,,,,,,,,,,,,,,133,
490,,,,,,,,,,,,,,,,,,,,133,
491,,,,,,,,,,,,,,,,,,,,133,
492,,,,,,,,,,,,,,,,,,,,133,
493,,,,,,,,,,,,,,,,,,,,133,
494,,,,,,,,,,,,,,,,,,,,133,
495,,,,,,,,,,,,,,,,,,,,133,
496,,,,,,,,,,,,,,,,,,,,133,
497,,,,,,,,,,,,,,,,,,,234,,
498,,,,,,,,,,,,,,,,,,,234,,
499,,,,,,,,,,,,,,,,,,254,,,
500,,,,,,,,,,,,,,,,,,254,,,
501,,,,,,,,,,,,,,,,,138,,,,
502,,,,,,,,,,,,,,,,220,,,,,
503,,,,,,,,,,,,,,,217,,,,,,
504,,,,,,,,,,,,,,112,,,,,,,
505,,,,,,,,,,,,,174,,,,,,,,
506,,,,,,,,,,,,135,,,,,,,,,
507,,,,,,,,,,,1,,,,,,,,,,
508,,,,,,,,,,1,,,,,,,,,,,
509,,,,,,,,,1,,,,,,,,,,,,
510,,,,,,,,1,,,,,,,,,,,,,
511,,,,,,,1,,,,,,,,,,,,,,
512,,,,,,1,,,,,,,,,,,,,,,
513,,,,,1,,,,,,,,,,,,,,,,
514,,,,1,,,,,,,,,,,,,,,,,
515,,,1,,,,,,,,,,,,,,,,,,
516,,,1,,,,,,,,,,,,,,,,,,
517,,1,,,,,,,,,,,,,,,,,,,
518,,1,,,,,,,,,,,,,,,,,,,
519,1,,,,,,,,,,,,,,,,,,,,
520,1,,,,,,,,,,,,,,,,,,,,
521,1,,,,,,,,,,,,,,,,,,,,
522,1,,,,,,,,,,,,,,,,,,,,
523,1,,,,,,,,,,,,,,,,,,,,
524,1,,,,,,,,,,,,,,,,,,,,
525,1,,,,,,,,,,,,,,,,,,,,
526,1,,,,,,,,,,,,,,,,,,,,
527,,1,,,,,,,,,,,,,,,,,,,
528,,1,,,,,,,,,,,,,,,,,,,
529,,,1,,,,,,,,,,,,,,,,,,
530,,,,1,,,,,,,,,,,,,,,,,
531,,,,1,,,,,,,,,,,,,,,,,
532,,,,,1,,,,,,,,,,,,,,,,
533,,,,,,1,,,,,,,,,,,,,,,
534,,,,,,,1,,,,,,,,,,,,,,
535,,,,,,,,1,,,,,,,,,,,,,
536,,,,,,,,,1,,,,,,,,,,,,
537,,,,,,,,,,1,,,,,,,,,,,
538,,,,,,,,,,,1,,,,,,,,,,
539,,,,,,,,,,,,135,,,,,,,,,
540,,,,,,,,,,,,,174,,,,,,,,
541,,,,,,,,,,,,,,112,,,,,,,
542,,,,,,,,,,,,,,,217,,,,,,
543,,,,,,,,,,,,,,,,220,,,,,
544,,,,,,,,,,,,,,,,,138,,,,
545,,,,,,,,,,,,,,,,,,254,,,
546,,,,,,,,,,,,,,,,,,254,,,
547,,,,,,,,,,,,,,,,,,,234,,
548,,,,,,,,,,,,,,,,,,,,133,
549,,,,,,,,,,,,,,,,,,,,133,
550,,,,,,,,,,,,,,,,,,,,133,
551,,,,,,,,,,,,,,,,,,,,133,
552,,,,,,,,,,,,,,,,,,,,133,
553,,,,,,,,,,,,,,,,,,,,133,
554,,,,,,,,,,,,,,,,,,,,133,
555,,,,,,,,,,,,,,,,,,,,133,
556,,,,,,,,,,,,,,,,,,,,133,
557,,,,,,,,,,,,,,,,,,,234,,
558,,,,,,,,,,,,,,,,,,,234,,
559,,,,,,,,,,,,,,,,,,254,,,
560,,,,,,,,,,,,,,,,,138,,,,
561,,,,,,,,,,,,,,,,220,,,,,
562,,,,,,,,,,,,,,,,220,,,,,
563,,,,,,,,,,,,,,,217,,,,,,
564,,,,,,,,,,,,,,112,,,,,,,
565,,,,,,,,,,,,,174,,,,,,,,
566,,,,,,,,,,,,135,,,,,,,,,
567,,,,,,,,,,,1,,,,,,,,,,
568,,,,,,,,,,1,,,,,,,,,,,
569,,,,,,,,1,,,,,,,,,,,,,
570,,,,,,,1,,,,,,,,,,,,,,
571,,,,,,1,,,,,,,,,,,,,,,
572,,,,,,1,,,,,,,,,,,,,,,
573,,,,,1,,,,,,,,,,,,,,,,
574,,,,1,,,,,,,,,,,,,,,,,
575,,,1,,,,,,,,,,,,,,,,,,
576,,1,,,,,,,,,,,,,,,,,,,
