unix_time,S0,S1,S2,S3,S4,F0,F1,F2,F3,F4,
230,1,,,,,,,,,,
231,,1,,,,,,,,,
232,,,1,,,,,,,,
233,,,,1,,,,,,,
234,,,,,1,,,,,,
235,,,,,,1,,,,,
236,,,,,,,61,,,,
237,,,,,,,,152,,,
238,,,,,,,,,48,,
239,,,,,,,,,,44,
240,1,,,,,,,,,,
241,,1,,,,,,,,,
242,,,1,,,,,,,,
243,,,,1,,,,,,,
244,,,,,1,,,,,,
245,,,,,,1,,,,,
246,,,,,,,61,,,,
247,,,,,,,,152,,,
248,,,,,,,,,48,,
249,,,,,,,,,,44,
250,1,,,,,,,,,,
251,,1,,,,,,,,,
252,,,1,,,,,,,,
253,,,,1,,,,,,,
254,,,,,1,,,,,,
255,,,,,,1,,,,,
256,,,,,,,61,,,,
257,,,,,,,,152,,,
258,,,,,,,,,48,,
259,,,,,,,,,,44,
260,1,,,,,,,,,,
261,,1,,,,,,,,,
262,,,1,,,,,,,,
263,,,,1,,,,,,,
264,,,,,1,,,,,,
265,,,,,,1,,,,,
266,,,,,,,61,,,,
267,,,,,,,,152,,,
268,,,,,,,,,48,,
269,,,,,,,,,,44,
270,1,,,,,,,,,,
271,,1,,,,,,,,,
272,,,1,,,,,,,,
273,,,,1,,,,,,,
274,,,,,1,,,,,,
275,,,,,,1,,,,,
276,,,,,,,61,,,,
277,,,,,,,,152,,,
278,,,,,,,,,48,,
279,,,,,,,,,,44,
280,1,,,,,,,,,,
281,,1,,,,,,,,,
282,,,1,,,,,,,,
283,,,,1,,,,,,,
284,,,,,1,,,,,,
285,,,,,,1,,,,,
286,,,,,,,61,,,,
287,,,,,,,,152,,,
288,,,,,,,,,48,,
289,,,,,,,,,,44,
290,1,,,,,,,,,,
291,,1,,,,,,,,,
292,,,1,,,,,,,,
293,,,,1,,,,,,,
294,,,,,1,,,,,,
295,,,,,,1,,,,,
296,,,,,,,61,,,,
297,,,,,,,,152,,,
298,,,,,,,,,48,,
299,,,,,,,,,,44,
300,1,,,,,,,,,,
301,,1,,,,,,,,,
302,,,1,,,,,,,,
303,,,,1,,,,,,,
304,,,,,1,,,,,,
305,,,,,,1,,,,,
306,,,,,,,61,,,,
307,,,,,,,,152,,,
308,,,,,,,,,48,,
309,,,,,,,,,,44,
310,1,,,,,,,,,,
311,,1,,,,,,,,,
312,,,1,,,,,,,,
313,,,,1,,,,,,,
314,,,,,1,,,,,,
315,,,,,,1,,,,,
316,,,,,,,61,,,,
317,,,,,,,,152,,,
318,,,,,,,,,48,,
319,,,,,,,,,,44,
320,1,,,,,,,,,,
321,,1,,,,,,,,,
322,,,1,,,,,,,,
323,,,,1,,,,,,,
324,,,,,1,,,,,,
325,,,,,,1,,,,,
326,,,,,,,61,,,,
327,,,,,,,,152,,,
328,,,,,,,,,48,,
329,,,,,,,,,,44,
330,1,,,,,,,,,,
331,,1,,,,,,,,,
332,,,1,,,,,,,,
333,,,,1,,,,,,,
334,,,,,1,,,,,,
335,,,,,,1,,,,,
336,,,,,,,61,,,,
337,,,,,,,,152,,,
338,,,,,,,,,48,,
339,,,,,,,,,,44,
340,1,,,,,,,,,,
341,,1,,,,,,,,,
342,,,1,,,,,,,,
343,,,,1,,,,,,,
344,,,,,1,,,,,,
345,,,,,,1,,,,,
346,,,,,,,61,,,,
347,,,,,,,,152,,,
348,,,,,,,,,48,,
349,,,,,,,,,,44,
350,1,,,,,,,,,,
351,,1,,,,,,,,,
352,,,1,,,,,,,,
353,,,,1,,,,,,,
354,,,,,1,,,,,,
355,,,,,,1,,,,,
356,,,,,,,61,,,,
357,,,,,,,,152,,,
358,,,,,,,,,48,,
359,,,,,,,,,,44,
360,1,,,,,,,,,,
361,,1,,,,,,,,,
362,,,1,,,,,,,,
363,,,,1,,,,,,,
364,,,,,1,,,,,,
365,,,,,,1,,,,,
366,,,,,,,61,,,,
367,,,,,,,,152,,,
368,,,,,,,,,48,,
369,,,,,,,,,,44,
370,1,,,,,,,,,,
371,,1,,,,,,,,,
372,,,1,,,,,,,,
373,,,,1,,,,,,,
374,,,,,1,,,,,,
375,,,,,,1,,,,,
376,,,,,,,61,,,,
377,,,,,,,,152,,,
378,,,,,,,,,48,,
379,,,,,,,,,,44,
380,1,,,,,,,,,,
381,,1,,,,,,,,,
382,,,1,,,,,,,,
383,,,,1,,,,,,,
384,,,,,1,,,,,,
385,,,,,,1,,,,,
386,,,,,,,61,,,,
387,,,,,,,,152,,,
388,,,,,,,,,48,,
389,,,,,,,,,,44,
390,1,,,,,,,,,,
391,,1,,,,,,,,,
392,,,1,,,,,,,,
393,,,,1,,,,,,,
394,,,,,1,,,,,,
395,,,,,,1,,,,,
396,,,,,,,61,,,,
397,,,,,,,,152,,,
398,,,,,,,,,48,,
399,,,,,,,,,,44,
400,1,,,,,,,,,,
401,,1,,,,,,,,,
402,,,1,,,,,,,,
403,,,,1,,,,,,,
404,,,,,1,,,,,,
405,,,,,,1,,,,,
406,,,,,,,61,,,,
407,,,,,,,,152,,,
408,,,,,,,,,48,,
409,,,,,,,,,,44,
410,1,,,,,,,,,,
411,,1,,,,,,,,,
412,,,1,,,,,,,,
413,,,,1,,,,,,,
414,,,,,1,,,,,,
415,,,,,,1,,,,,
416,,,,,,,61,,,,
417,,,,,,,,152,,,
418,,,,,,,,,48,,
419,,,,,,,,,,44,
420,1,,,,,,,,,,
421,,1,,,,,,,,,
422,,,1,,,,,,,,
423,,,,1,,,,,,,
424,,,,,1,,,,,,
425,,,,,,1,,,,,
426,,,,,,,61,,,,
427,,,,,,,,152,,,
428,,,,,,,,,48,,
429,,,,,,,,,,44,
430,1,,,,,,,,,,
431,,1,,,,,,,,,
432,,,1,,,,,,,,
433,,,,1,,,,,,,
434,,,,,1,,,,,,
435,,,,,,1,,,,,
436,,,,,,,61,,,,
437,,,,,,,,152,,,
438,,,,,,,,,48,,
439,,,,,,,,,,44,
440,1,,,,,,,,,,
441,,1,,,,,,,,,
442,,,1,,,,,,,,
443,,,,1,,,,,,,
444,,,,,1,,,,,,
445,,,,,,1,,,,,
446,,,,,,,61,,,,
447,,,,,,,,152,,,
448,,,,,,,,,48,,
449,,,,,,,,,,44,
450,1,,,,,,,,,,
451,,1,,,,,,,,,
452,,,1,,,,,,,,
453,,,,1,,,,,,,
454,,,,,1,,,,,,
455,,,,,,1,,,,,
456,,,,,,,61,,,,
457,,,,,,,,152,,,
458,,,,,,,,,48,,
459,,,,,,,,,,44,
460,1,,,,,,,,,,
461,,1,,,,,,,,,
462,,,1,,,,,,,,
463,,,,1,,,,,,,
464,,,,,1,,,,,,
465,,,,,,1,,,,,
466,,,,,,,61,,,,
467,,,,,,,,152,,,
468,,,,,,,,,48,,
469,,,,,,,,,,44,
470,1,,,,,,,,,,
471,,1,,,,,,,,,
472,,,1,,,,,,,,
473,,,,1,,,,,,,
474,,,,,1,,,,,,
475,,,,,,1,,,,,
476,,,,,,,61,,,,
477,,,,,,,,152,,,
478,,,,,,,,,48,,
479,,,,,,,,,,44,
480,1,,,,,,,,,,
481,,1,,,,,,,,,
482,,,1,,,,,,,,
483,,,,1,,,,,,,
484,,,,,1,,,,,,
485,,,,,,1,,,,,
486,,,,,,,61,,,,
487,,,,,,,,152,,,
488,,,,,,,,,48,,
489,,,,,,,,,,44,
490,1,,,,,,,,,,
491,,1,,,,,,,,,
492,,,1,,,,,,,,
493,,,,1,,,,,,,
494,,,,,1,,,,,,
495,,,,,,1,,,,,
496,,,,,,,61,,,,
497,,,,,,,,152,,,
498,,,,,,,,,48,,
499,,,,,,,,,,44,
500,1,,,,,,,,,,
501,,1,,,,,,,,,
502,,,1,,,,,,,,
503,,,,1,,,,,,,
504,,,,,1,,,,,,
505,,,,,,1,,,,,
506,,,,,,,61,,,,
507,,,,,,,,152,,,
508,,,,,,,,,48,,
509,,,,,,,,,,44,
510,1,,,,,,,,,,
511,,1,,,,,,,,,
512,,,1,,,,,,,,
513,,,,1,,,,,,,
514,,,,,1,,,,,,
515,,,,,,1,,,,,
516,,,,,,,61,,,,
517,,,,,,,,152,,,
518,,,,,,,,,48,,
519,,,,,,,,,,44,
520,1,,,,,,,,,,
521,,1,,,,,,,,,
522,,,1,,,,,,,,
523,,,,1,,,,,,,
524,,,,,1,,,,,,
525,,,,,,1,,,,,
526,,,,,,,61,,,,
527,,,,,,,,152,,,
528,,,,,,,,,48,,
529,,,,,,,,,,44,
530,1,,,,,,,,,,
531,,1,,,,,,,,,
532,,,1,,,,,,,,
533,,,,1,,,,,,,
534,,,,,1,,,,,,
535,,,,,,1,,,,,
536,,,,,,,61,,,,
537,,,,,,,,152,,,
538,,,,,,,,,48,,
539,,,,,,,,,,44,
540,1,,,,,,,,,,
541,,1,,,,,,,,,
542,,,1,,,,,,,,
543,,,,1,,,,,,,
544,,,,,1,,,,,,
545,,,,,,1,,,,,
546,,,,,,,61,,,,
547,,,,,,,,152,,,
548,,,,,,,,,48,,
549,,,,,,,,,,44,
550,1,,,,,,,,,,
551,,1,,,,,,,,,
552,,,1,,,,,,,,
553,,,,1,,,,,,,
554,,,,,1,,,,,,
555,,,,,,1,,,,,
556,,,,,,,61,,,,
557,,,,,,,,152,,,
558,,,,,,,,,48,,
559,,,,,,,,,,44,
560,1,,,,,,,,,,
561,,1,,,,,,,,,
562,,,1,,,,,,,,
563,,,,1,,,,,,,
564,,,,,1,,,,,,
565,,,,,,1,,,,,
566,,,,,,,61,,,,
567,,,,,,,,152,,,
568,,,,,,,,,48,,
569,,,,,,,,,,44,
570,1,,,,,,,,,,
571,,1,,,,,,,,,
572,,,1,,,,,,,,
573,,,,1,,,,,,,
574,,,,,1,,,,,,
575,,,,,,1,,,,,
576,,,,,,,61,,,,
577,,,,,,,,152,,,
578,,,,,,,,,48,,
579,,,,,,,,,,44,
580,1,,,,,,,,,,
581,,1,,,,,,,,,
582,,,1,,,,,,,,
583,,,,1,,,,,,,
584,,,,,1,,,,,,
585,,,,,,1,,,,,
586,,,,,,,61,,,,
587,,,,,,,,152,,,
588,,,,,,,,,48,,
589,,,,,,,,,,44,
590,1,,,,,,,,,,
591,,1,,,,,,,,,
592,,,1,,,,,,,,
593,,,,1,,,,,,,
594,,,,,1,,,,,,
595,,,,,,1,,,,,
596,,,,,,,61,,,,
597,,,,,,,,152,,,
598,,,,,,,,,48,,
599,,,,,,,,,,44,
